Company;Type;Reg.nr.;PAX;YOM;
Excellent Air (Operated by Ohlair Charterflug);Citation CJ4;D-CFRT;9;2014;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ4;D-CKAB;9;2019;Light Jet
Aeroways GmbH;Citation CJ4;D-CNOX;8;2015;Light Jet
JetFleet AG (Operated by Aeroways GmbH);Citation CJ4;D-COCO;8;2016;Light Jet
STARJET GROUP SA (Operated by Aeroways GmbH);Citation CJ4;D-COLO;9;2011;Light Jet
Clipper National Air;Citation CJ4;EC-NQS;8;2012;Light Jet
Clipper National Air;Citation CJ4;EC-OMU;9;2015;Light Jet
Avcon Jet AG;Citation CJ4;OE-GCL;8;2020;Light Jet
Avcon Jet AG;Citation CJ4;OE-GCZ;7;2018;Light Jet
Avcon Jet AG (Operated by International Jet Management GmbH);Citation CJ4;OE-GSX;8;2019;Light Jet
SalzburgJetAviation GmbH;Citation CJ4;OE-GTI;8;2012;Light Jet
ACXJET;Citation CJ4;OH-ACX;8;2015;Light Jet
Toyo Aviation;Citation CJ4;YR-TRK;8;2019;Light Jet
DALaviation Switzerland Sàrl (Operated by ProAir Aviation GmbH);Citation CJ4 Gen2;D-CLIK;8;2021;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ4 Gen2;D-COVA;7;2022;Light Jet
Abelag Aviation;Citation CJ4 Gen2;OO-LUX;8;2023;Light Jet
Abelag Aviation;Citation CJ4 Gen2;OO-LXA;8;2023;Light Jet
Abelag Aviation;Citation CJ4 Gen2;OO-NSG;8;2022;Light Jet
Abelag Aviation;Citation CJ4 Gen2;OO-ZUN;8;2024;Light Jet
Aerowest GmbH;Citation Encore;D-CAPB;8;2009;Light Jet
Elilombarda S.R.L.;Citation Encore+;I-ZACK;8;2007;Light Jet
Nordjet Airlines;Citation Excel;EC-ISQ;8;2004;Super Light Jet
Gestair;Citation Excel;EC-KOL;8;2000;Super Light Jet
Luxaviation (Operated by London Executive Aviation);Citation Excel;G-SIRS;8;2001;Super Light Jet
Scanwings;Citation Excel;OH-RBX;9;1999;Super Light Jet
Air Bohemia s.r.o.;Citation Excel;OK-AST;8;2000;Super Light Jet
Silesia Air;Citation Excel;OK-CAA;7;2001;Super Light Jet
Air Bohemia s.r.o.;Citation Excel;OK-DMK;8;2000;Super Light Jet
AEROPARTNER a.s.;Citation Excel;OK-HAR;7;2002;Super Light Jet
Jivair AB;Citation Excel;SE-RHJ;8;2000;Super Light Jet
Jonair Affärsflyg AB;Citation Excel;SE-RLV;9;2000;Super Light Jet
Ejet 16 (Operated by AMC Aviation);Citation Excel;SP-AIN;8;2000;Super Light Jet
Jet Stream (Operated by Jet Stream Charter Kft.);Citation I;HA-FIT;5;1977;Light Jet
BUSINESSAIR a.s. (Operated by Alpha Jet s.r.o.);Citation II;9H-PIK;8;1982;Light Jet
OrionJets;Citation II;CS-DVZ;9;1982;Light Jet
Millennium Jet srls (Operated by Aeroways GmbH);Citation II;D-CIAO;11;1981;Light Jet
AIRLEC AIR ESPACE;Citation II;F-HMXL;8;1990;Light Jet
ROYAL CLASS;Citation II;LV-BRE;9;1992;Light Jet
PHS - Premium Aviation and Handling Services, Soc. U.P. Lda;Citation II;S5-BBG;8;1982;Light Jet
Life Line Aviation;Citation II;SX-FDA;7;1992;Light Jet
Laufer Jet (Operated by G.A.D. FLIGHTS LTD);Citation III;4X-CZA;8;1990;Light Jet
Jet Stream (Operated by Jet Stream Charter d.o.o.);Citation III;HA-JEM;8;1985;Light Jet
Jet Stream (Operated by B.J. Aviation Kft.);Citation III;HA-JEP;8;1988;Light Jet
Jet Stream (Operated by B. J. Aviation d.o.o.);Citation III;HA-JEV;8;1989;Light Jet
Magna Aviation (Operated by Life Line Aviation);Citation III;SX-FDK;8;1991;Light Jet
AIRLEC AIR ESPACE;Citation IISP;F-HBZA;8;1991;Light Jet
Albinati Aeronautics (Operated by Albinati Aviation Ltd);Citation Latitude;9H-AOA;6;2017;Super Midsize Jet
ASTONJET LTD.;Citation Latitude;9H-AST;7;2017;Super Midsize Jet
ASTONJET LTD.;Citation Latitude;9H-J4K;7;2025;Super Midsize Jet
ASTONJET LTD.;Citation Latitude;9H-SFJ;8;2017;Super Midsize Jet
Aerowest GmbH;Citation Latitude;D-CAWK;9;2017;Super Midsize Jet
Aerowest GmbH;Citation Latitude;D-CAWL;9;2024;Super Midsize Jet
Aerowest GmbH;Citation Latitude;D-CAWN;9;2019;Super Midsize Jet
BHS Aviation AG;Citation Latitude;D-CBHS;6;2022;Super Midsize Jet
Hahn Air Lines GmbH;Citation Latitude;D-CHRG;6;2020;Super Midsize Jet
Gestair;Citation Latitude;EC-NBS;7;2019;Super Midsize Jet
Air Charter Scotland;Citation Latitude;G-SHUI;8;2017;Super Midsize Jet
Global Jet Luxembourg S.A.;Citation Latitude;LX-FVI;7;2019;Super Midsize Jet
Smartline Luftfahrt GmbH;Citation Latitude;OE-GGM;8;2019;Super Midsize Jet
Premium Jet AG (Operated by Premium Jet GmbH);Citation Latitude;OE-GJA;6;2017;Super Midsize Jet
Bikinijet (Operated by BKNJET HAVACILIK A.Ş.);Citation Latitude;TC-AKF;8;2026;Super Midsize Jet
Bikinijet (Operated by BKNJET HAVACILIK A.Ş.);Citation Latitude;TC-TVH;8;2015;Super Midsize Jet
Smartwings, a.s (Operated by UG Jet, s.r.o.);Citation Longitude;OK-JRE;9;2022;Super Midsize Jet
Smartwings, a.s;Citation Longitude;OK-JRL;9;2025;Super Midsize Jet
Avcon Jet AG (Operated by Avcon Jet Malta Ltd);Citation M2;9H-1MA;6;2021;Entry Level Jet
ASTONJET LTD.;Citation M2;9H-COB;6;2016;Entry Level Jet
Abelag Aviation;Citation M2;D-IBLU;5;2021;Entry Level Jet
E-Aviation Eisele Flugdienst GmbH;Citation M2;D-IEFD;5;2017;Entry Level Jet
E-Aviation Eisele Flugdienst GmbH;Citation M2;D-IFHD;5;2015;Entry Level Jet
Alpine Flightservice;Citation M2;D-ILJA;5;2021;Entry Level Jet
Flexflight;Citation M2;D-IMIM;4;2020;Entry Level Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation M2;D-IOVA;5;2018;Entry Level Jet
Heron Aviation;Citation M2;D-IPAA;5;2019;Entry Level Jet
Alpine Flightservice;Citation M2;D-IXON;5;2022;Entry Level Jet
VALLJET;Citation M2;F-HALV;5;2015;Entry Level Jet
VALLJET;Citation M2;F-HGRI;5;2015;Entry Level Jet
Priv'Air;Citation M2;F-HIPP;5;2019;Entry Level Jet
SD AVIATION;Citation M2;F-HLBF;6;2024;Entry Level Jet
SD AVIATION;Citation M2;F-HLRK;6;2024;Entry Level Jet
Catreus Ltd;Citation M2;G-SOLE;5;2022;Entry Level Jet
Albinati Aeronautics;Citation M2;HB-VCA;4;2025;Entry Level Jet
Transwing GmbH;Citation M2;HB-VTW;5;2019;Entry Level Jet
Luxwing Ltd;Citation M2;I-FVAB;5;2016;Entry Level Jet
Transwing GmbH;Citation M2;OE-FBM;5;2025;Entry Level Jet
Airlink;Citation M2;OE-FEA;6;2020;Entry Level Jet
Fly Tyrol / ABC Bedarfsflug;Citation M2;OE-FGC;6;2015;Entry Level Jet
Transwing GmbH;Citation M2;OE-FNM;5;2025;Entry Level Jet
Gama Aviation Ltd (Operated by Tyrolean Jets & Services);Citation M2;OE-FPJ;5;2024;Entry Level Jet
Prince Aviation (Operated by Prince Aviation SI);Citation M2;S5-CPD;5;2016;Entry Level Jet
EFS European Flight Service;Citation M2;SE-RVZ;5;2020;Entry Level Jet
MPC AIR D.O.O.;Citation M2;YU-MPC;5;2016;Entry Level Jet
Luxwing Ltd;Citation Mustang;9H-RZZ;4;2012;Entry Level Jet
Ijet Aviation (Operated by DBT Transportes Aéreos, Lda);Citation Mustang;CS-DJJ;4;2011;Entry Level Jet
Heron Aviation;Citation Mustang;EC-LCX;4;2009;Entry Level Jet
Ijet Aviation (Operated by Heron Aviation);Citation Mustang;EC-NGX;4;2009;Entry Level Jet
ASTONJET LTD. (Operated by ASTONJET);Citation Mustang;F-GMTJ;4;2009;Entry Level Jet
IXAIR;Citation Mustang;F-HAHA;4;2012;Entry Level Jet
ASTONJET LTD. (Operated by ASTONJET);Citation Mustang;F-HASJ;4;2008;Entry Level Jet
IXAIR;Citation Mustang;F-HEND;4;2009;Entry Level Jet
ASTONJET LTD. (Operated by ASTONJET);Citation Mustang;F-HIBF;4;2009;Entry Level Jet
Andorra Jets (Operated by Priv'Air);Citation Mustang;F-HIMC;4;2008;Entry Level Jet
Andorra Jets (Operated by Priv'Air);Citation Mustang;F-HSHU;4;2008;Entry Level Jet
AElia Srl;Citation Mustang;I-FITO;4;2019;Entry Level Jet
ARILA (Operated by Microjet Inc);Citation Mustang;JA123F;4;2012;Entry Level Jet
Luxaviation Luxembourg;Citation Mustang;LX-AOA;4;2010;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FBD;4;2010;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FFB;4;2008;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FHK;4;2008;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FNP;4;2009;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FPP;4;2009;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FWF;4;2008;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FZA;4;2008;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FZB;4;2008;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FZC;4;2008;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FZD;4;2008;Entry Level Jet
GlobeAir GmbH;Citation Mustang;OE-FZE;4;2008;Entry Level Jet
AEROPARTNER a.s.;Citation Mustang;OK-MYS;4;2009;Entry Level Jet
AEROPARTNER a.s.;Citation Mustang;OK-OBR;4;2010;Entry Level Jet
ASL;Citation Mustang;OO-MST;4;2008;Entry Level Jet
ASL;Citation Mustang;OO-OYS;4;2008;Entry Level Jet
ASL (Operated by JetNetherlands BV);Citation Mustang;PH-RMP;4;2008;Entry Level Jet
ASL (Operated by JetNetherlands BV);Citation Mustang;PH-TXA;4;2008;Entry Level Jet
Titan Aviation (Operated by Titan Aviation San Marino S.R.L.);Citation Mustang;T7-S5Z;4;2010;Entry Level Jet
Point Jet Aviation (Operated by BE AERO HAVACILIK A.Ş);Citation Mustang;TC-VLK;4;2008;Entry Level Jet
Executive Jet Management Europe;Citation Sovereign;CSIMP;9;2004;Super Midsize Jet
Voyage Air (Operated by Aeroways GmbH);Citation Sovereign;D-CBAY;9;2007;Super Midsize Jet
Italfly;Citation Sovereign;I-TAOS;9;2011;Super Midsize Jet
Aero Toyota Corporation;Citation Sovereign;JA-04AA;8;2008;Super Midsize Jet
Pacific Ocean S.A;Citation Sovereign;LV-POA;8;2006;Super Midsize Jet
Pacific Ocean S.A;Citation Sovereign;LV-POB;8;2008;Super Midsize Jet
Air Bohemia s.r.o.;Citation Sovereign;OK-OSK;8;2007;Super Midsize Jet
AEROPARTNER a.s.;Citation Sovereign;OK-PET;9;2007;Super Midsize Jet
Air Bohemia s.r.o.;Citation Sovereign;OK-VNA;8;2010;Super Midsize Jet
ASL;Citation Sovereign;OO-GLM;9;2006;Super Midsize Jet
EFS European Flight Service;Citation Sovereign;SE-RFL;9;2009;Super Midsize Jet
Flairis Aviation (Operated by Smart Aviation);Citation Sovereign;SU-EWD;9;2005;Super Midsize Jet
MEGA LFS LLC (Operated by Smart Aviation);Citation Sovereign;SU-SMK;9;2007;Super Midsize Jet
Smart Aviation;Citation Sovereign;SU-SML;9;2009;Super Midsize Jet
PANJET;Citation Sovereign;TC-MPA;10;2008;Super Midsize Jet
Aerowest GmbH;Citation Sovereign+;D-CARO;9;2014;Super Midsize Jet
Aerowest GmbH;Citation Sovereign+;D-CAWX;9;2014;Super Midsize Jet
FSH Aviation GmbH;Citation Sovereign+;D-CFSH;10;2018;Super Midsize Jet
Aeroways GmbH;Citation Sovereign+;D-CWWA;10;2014;Super Midsize Jet
Smartwings, a.s;Citation Sovereign+;OK-JRS;9;2019;Super Midsize Jet
Smartwings, a.s;Citation Sovereign+;OK-JRT;9;2016;Super Midsize Jet
Air TXT SL;Citation Ultra;EC-GOV;7;1997;Light Jet
Initium Aviation;Citation Ultra;EC-JFT;8;2000;Light Jet
Arrow Aviation Ltd.;Citation V;4X-CRZ;7;1995;Light Jet
OrionJets;Citation V;CS-DOW;8;1990;Light Jet
Initium Aviation;Citation V;EC-LEP;8;1991;Light Jet
Plures;Citation V;TC-LAA;8;1993;Light Jet
Jet Stream (Operated by B.J. Aviation Kft.);Citation VI;HA-JEF;8;1992;Midsize Jet
Jet Stream (Operated by Jet Stream Charter d.o.o.);Citation VI;HA-JEO;8;1997;Midsize Jet
Jet Stream (Operated by B. J. Aviation d.o.o.);Citation VI;HA-JEX;8;1994;Midsize Jet
Jet Stream (Operated by B. J. Aviation d.o.o.);Citation VI;HA-SCU;8;1994;Midsize Jet
Jet Stream (Operated by Jet Stream Charter d.o.o.);Citation VI;HA-SCY;8;1991;Midsize Jet
FLYINGGROUP (Operated by Hyperion Aviation ltd);Citation VII;9H-GMG;6;1999;Midsize Jet
Jet Stream (Operated by B.J. Aviation Kft.);Citation VII;HA-SCS;7;1997;Midsize Jet
Jet Stream (Operated by B.J. Aviation Kft.);Citation VII;HA-SCW;7;1998;Midsize Jet
North Flying;Citation VII;OY-CLP;8;1998;Midsize Jet
North Flying;Citation VII;OY-NFA;8;2000;Midsize Jet
ASL (Operated by JetNetherlands BV);Citation VII;PH-MYX;7;2000;Midsize Jet
ORTAC (AOC) LIMITED;Citation X;2-MACH;8;2004;Super Midsize Jet
Bairline Fluggesellschaft mbH & Co KG;Citation X;OE-HUB;8;2007;Super Midsize Jet
Vantaggio FZ-LLC (Operated by SalzburgJetAviation GmbH);Citation X;OE-HVH;8;2003;Super Midsize Jet
Avcon Jet AG (Operated by Avcon Jet Malta Ltd);Citation XLS;9H-JOS;8;2008;Super Light Jet
Vista (Operated by VistaJet Ltd);Citation XLS;9H-XOA;7;2006;Super Light Jet
Vista (Operated by VistaJet Ltd);Citation XLS;9H-XOB;7;2006;Super Light Jet
Vista (Operated by VistaJet Ltd);Citation XLS;9H-XOC;7;2006;Super Light Jet
Silver Cloud Air;Citation XLS;D-CHDJ;9;2008;Super Light Jet
Silver Cloud Air;Citation XLS;D-CNNN;7;2017;Super Light Jet
LUMINAIR;Citation XLS;D-CRIE;8;2008;Super Light Jet
LUMINAIR;Citation XLS;D-CRSM;8;2009;Super Light Jet
Silver Cloud Air;Citation XLS;D-CSGD;8;2008;Super Light Jet
Euro Link;Citation XLS;D-CTTT;9;2006;Super Light Jet
Initium Aviation;Citation XLS;EC-KPB;9;2008;Super Light Jet
Luxaviation (Operated by London Executive Aviation);Citation XLS;G-LEAX;7;2007;Super Light Jet
Heli Air Services;Citation XLS;LZ-CVA;8;2007;Super Light Jet
Smartline Luftfahrt GmbH;Citation XLS;OE-GHB;7;2005;Super Light Jet
Avcon Jet AG (Operated by Jet 24 GmbH);Citation XLS;OE-GWV;6;2008;Super Light Jet
ASL;Citation XLS;OO-MMT;9;2006;Super Light Jet
ASL;Citation XLS;PH-GHZ;9;2005;Super Light Jet
ASL;Citation XLS;PH-KEK;9;2008;Super Light Jet
Smart Jet Sp z o.o.;Citation XLS;SP-FOX;7;2008;Super Light Jet
Smart Jet Sp z o.o. (Operated by Smart Jet International Sp z o.o.);Citation XLS;SP-UMA;7;2008;Super Light Jet
PANELLENIC S.A.;Citation XLS;SX-AQG;8;2004;Super Light Jet
PANELLENIC S.A.;Citation XLS;SX-JRB;8;2008;Super Light Jet
PANELLENIC S.A.;Citation XLS;SX-RJB;8;2007;Super Light Jet
Prince Aviation;Citation XLS;YU-SVL;8;2008;Super Light Jet
E-Aviation Eisele Flugdienst GmbH;Citation XLS Gen 2;D-CARE;4;2023;Super Light Jet
Aerowest GmbH;Citation XLS Gen 2;D-CAWH;8;2023;Super Light Jet
Porsche Air Service GmbH;Citation XLS Gen 2;OE-GTR;8;2022;Super Light Jet
Porsche Air Service GmbH;Citation XLS Gen 2;OE-GTX;8;2025;Super Light Jet
Jetfly Airline GmbH;Citation XLS Gen 2;OEGPP;7;2022;Super Light Jet
AIR ADRIATIC d.o.o.;Citation XLS Gen 2;S5-BBM;8;2022;Super Light Jet
AIR ADRIATIC d.o.o.;Citation XLS Gen 2;S5-BBV;9;2022;Super Light Jet
AeroLux DOO;Citation XLS Gen 2;YU-LSA;9;2024;Super Light Jet
Gama Aviation Ltd;Citation XLS+;9H-GAMA;7;2009;Super Light Jet
Hans Jet (Operated by Alliance Executive Jets Ltd);Citation XLS+;9H-GOAT;7;2013;Super Light Jet
Silver Cloud Air;Citation XLS+;D-CAFE;7;2013;Super Light Jet
